# w = (H-sigma_ss) = pore width = 1 [nm]
# P[atm], V[molecules/nm3], V[mmol/cm3], V[cm3(STP)/cm3], Omega/epsilon_ff[1/nm2]
3.94968e-08, 1.34948e-06, 2.24086e-06, 5.02267e-05, -3.02487e-06
7.64123e-08, 1.8163e-06, 3.01604e-06, 6.76016e-05, -4.08923e-06
1.43531e-07, 2.74255e-06, 4.55411e-06, 0.000102076, -6.19147e-06
2.61763e-07, 4.4131e-06, 7.32813e-06, 0.000164253, -9.98149e-06
4.64152e-07, 7.30671e-06, 1.21331e-05, 0.000271951, -1.65439e-05
7.72219e-07, 1.17724e-05, 1.95485e-05, 0.00043816, -2.66816e-05
1.49397e-06, 2.2312e-05, 3.70499e-05, 0.000830437, -5.0606e-05
2.80623e-06, 4.16996e-05, 6.92439e-05, 0.00155203, -9.46128e-05
5.11785e-06, 7.59906e-05, 0.000126185, 0.00282832, -0.000172417
9.07484e-06, 0.000134585, 0.000223483, 0.00500915, -0.000305365
1.56463e-05, 0.000231893, 0.000385067, 0.00863089, -0.000526154
2.63463e-05, 0.000390322, 0.000648145, 0.0145275, -0.000885625
4.32039e-05, 0.000639945, 0.00106265, 0.0238183, -0.00145201
6.93483e-05, 0.00102705, 0.00170546, 0.0382261, -0.00233033
0.000108761, 0.00161064, 0.00267453, 0.059947, -0.00365448
0.000167011, 0.00247314, 0.00410674, 0.0920486, -0.00561144
0.00025135, 0.00372188, 0.00618033, 0.138526, -0.00844477
0.000371086, 0.00549468, 0.00912414, 0.204508, -0.0124672
0.000537929, 0.00796488, 0.013226, 0.296447, -0.018072
0.000766313, 0.0113461, 0.0188406, 0.422294, -0.0257439
0.00107367, 0.0158964, 0.0263965, 0.591652, -0.0360684
0.00148068, 0.0219287, 0.0364134, 0.816171, -0.0497556
0.00201139, 0.0297876, 0.0494635, 1.10867, -0.0675877
0.00269331, 0.0398845, 0.0662298, 1.48448, -0.0904984
0.00355732, 0.0526765, 0.0874713, 1.96058, -0.119525
0.00463751, 0.0686674, 0.114025, 2.55575, -0.155812
0.0059709, 0.0884037, 0.146798, 3.29032, -0.2006
0.007597, 0.112468, 0.186757, 4.18598, -0.255214
0.00955723, 0.141516, 0.234992, 5.26711, -0.321146
0.0118944, 0.176095, 0.292413, 6.55415, -0.399647
0.0146517, 0.216874, 0.360127, 8.07189, -0.492243
0.0178725, 0.264477, 0.439175, 9.84367, -0.600373
0.0215986, 0.319508, 0.530555, 11.8919, -0.72543
0.0258706, 0.382654, 0.635412, 14.2421, -0.869018
0.030726, 0.454218, 0.754247, 16.9057, -1.03189
