# w = (H-sigma_ss) = pore width = 0.4 [nm]
# P[atm], V[molecules/nm3], V[mmol/cm3], V[cm3(STP)/cm3], Omega/epsilon_ff[1/nm2]
3.94968e-08, 7.60582e-05, 0.000126298, 0.00283083, -5.88178e-05
7.64123e-08, 0.000145313, 0.000241298, 0.00540844, -0.00011231
1.43531e-07, 0.000272432, 0.000452384, 0.0101397, -0.000210499
2.61763e-07, 0.000496398, 0.000824288, 0.0184756, -0.000383494
4.64152e-07, 0.000879774, 0.0014609, 0.0327446, -0.000679622
7.72219e-07, 0.00146281, 0.00242905, 0.0544447, -0.00112997
1.49397e-06, 0.0028307, 0.00470048, 0.105357, -0.00218656
2.80623e-06, 0.00531939, 0.00883306, 0.197984, -0.00410892
5.11785e-06, 0.00970044, 0.016108, 0.361044, -0.00749309
9.07484e-06, 0.017199, 0.0285597, 0.640137, -0.0132857
1.56463e-05, 0.0296507, 0.0492361, 1.10358, -0.0229053
2.63463e-05, 0.0499436, 0.0829333, 1.85887, -0.0385847
4.32039e-05, 0.0818823, 0.135969, 3.0476, -0.0632679
6.93483e-05, 0.131373, 0.218149, 4.8896, -0.10153
0.000108761, 0.205903, 0.34191, 7.66357, -0.159188
0.000167011, 0.315847, 0.524476, 11.7556, -0.244333
0.00025135, 0.47453, 0.787975, 17.6617, -0.367456
0.000371086, 0.698251, 1.15947, 25.9884, -0.541617
0.000537929, 1.00746, 1.67293, 37.4972, -0.783744
0.000766313, 1.42405, 2.36469, 53.0021, -1.11336
0.00107367, 1.96853, 3.26882, 73.2673, -1.55209
0.00148068, 2.65519, 4.40905, 98.8245, -2.12284
0.00201139, 3.48486, 5.78674, 129.704, -2.84812
0.00269331, 4.43411, 7.36301, 165.034, -3.7438
0.00355732, 5.45157, 9.05254, 202.904, -4.81036
0.00463751, 6.48159, 10.7629, 241.24, -6.04136
0.0059709, 7.47316, 12.4095, 278.146, -7.416
0.007597, 8.3957, 13.9414, 312.482, -8.91006
0.00955723, 9.23523, 15.3355, 343.729, -10.4958
0.0118944, 9.99035, 16.5894, 371.834, -12.1475
0.0146517, 10.6663, 17.7118, 396.992, -13.8425
0.0178725, 11.2707, 18.7154, 419.488, -15.5607
0.0215986, 11.8123, 19.6148, 439.646, -17.2875
0.0258706, 12.2992, 20.4233, 457.767, -19.011
0.030726, 12.7386, 21.1529, 474.122, -20.7222
0.036199, 13.1363, 21.8133, 488.922, -22.4116
0.0423199, 13.4975, 22.4131, 502.368, -24.0734
0.0491139, 13.827, 22.9603, 514.632, -25.7039
0.0566014, 14.1282, 23.4604, 525.842, -27.2973
0.0647972, 14.4046, 23.9194, 536.13, -28.8525
0.0737097, 14.6587, 24.3413, 545.586, -30.3653
0.0833421, 14.8928, 24.7301, 554.301, -31.8347
0.093691, 15.1094, 25.0898, 562.363, -33.2614
0.104747, 15.3098, 25.4226, 569.822, -34.6423
0.116496, 15.496, 25.7317, 576.751, -35.9796
0.128917, 15.6688, 26.0187, 583.183, -37.2706
0.141984, 15.8299, 26.2862, 589.18, -38.5182
0.155668, 15.9799, 26.5353, 594.762, -39.7203
0.169936, 16.1202, 26.7682, 599.983, -40.8802
0.184748, 16.2511, 26.9856, 604.854, -41.9958
0.200061, 16.3738, 27.1893, 609.422, -43.0706
0.215836, 16.4885, 27.3799, 613.692, -44.103
0.232027, 16.5964, 27.5589, 617.706, -45.0968
0.248583, 16.6973, 27.7266, 621.464, -46.0498
0.26546, 16.7924, 27.8845, 625.003, -46.9665
0.28261, 16.8816, 28.0325, 628.321, -47.8447
0.299983, 16.9657, 28.1722, 631.452, -48.6887
0.317531, 17.0446, 28.3033, 634.389, -49.4965
0.335211, 17.1192, 28.4271, 637.166, -50.2724
0.352973, 17.1897, 28.5441, 639.788, -51.0168
0.370776, 17.2558, 28.6539, 642.249, -51.7279
0.388577, 17.3184, 28.7579, 644.579, -52.4103
0.406335, 17.3772, 28.8555, 646.768, -53.0618
0.424014, 17.433, 28.9482, 648.844, -53.687
0.441577, 17.4858, 29.0359, 650.811, -54.2861
0.45899, 17.5355, 29.1183, 652.658, -54.8573
0.476224, 17.5826, 29.1966, 654.412, -55.4049
0.493249, 17.6273, 29.2708, 656.076, -55.9295
0.51004, 17.6693, 29.3405, 657.638, -56.4289
0.526574, 17.7092, 29.4068, 659.123, -56.9076
0.542828, 17.7471, 29.4697, 660.535, -57.366
0.558785, 17.7827, 29.5288, 661.858, -57.8018
0.574429, 17.8165, 29.5851, 663.12, -58.2194
0.589744, 17.8488, 29.6386, 664.319, -58.6193
0.60472, 17.8794, 29.6895, 665.46, -59.002
0.619345, 17.9081, 29.7371, 666.528, -59.365
0.633613, 17.9355, 29.7825, 667.546, -59.7128
0.647515, 17.9615, 29.8258, 668.516, -60.0456
0.661048, 17.9864, 29.8671, 669.44, -60.3641
0.674208, 18.0095, 29.9055, 670.302, -60.6656
0.686993, 18.0317, 29.9423, 671.126, -60.9544
0.699403, 18.0528, 29.9773, 671.912, -61.2308
0.711438, 18.0729, 30.0108, 672.661, -61.4952
0.7231, 18.0916, 30.0419, 673.358, -61.7449
0.734393, 18.11, 30.0724, 674.042, -61.9872
0.745319, 18.127, 30.1007, 674.676, -62.2156
0.755882, 18.1433, 30.1277, 675.282, -62.4342
0.766089, 18.1589, 30.1535, 675.861, -62.6434
0.775945, 18.1737, 30.1781, 676.413, -62.8433
0.785456, 18.1874, 30.2009, 676.923, -63.0314
0.794627, 18.201, 30.2235, 677.429, -63.2146
0.803468, 18.2135, 30.2442, 677.893, -63.3866
0.811985, 18.2254, 30.264, 678.338, -63.5511
0.820185, 18.2369, 30.283, 678.764, -63.7085
0.828078, 18.2478, 30.3012, 679.17, -63.859
0.83567, 18.2582, 30.3185, 679.559, -64.003
0.842971, 18.2682, 30.3351, 679.931, -64.1406
0.849988, 18.2778, 30.3509, 680.285, -64.272
0.856729, 18.2868, 30.366, 680.624, -64.3977
0.863204, 18.2955, 30.3805, 680.948, -64.5177
0.86942, 18.3038, 30.3942, 681.256, -64.6323
0.875387, 18.3117, 30.4074, 681.55, -64.7417
0.88111, 18.3193, 30.4199, 681.831, -64.8462
0.8866, 18.3265, 30.4318, 682.099, -64.9459
0.891863, 18.3333, 30.4432, 682.354, -65.0411
0.896909, 18.3399, 30.4541, 682.598, -65.132
0.901745, 18.3456, 30.4636, 682.812, -65.1552
0.906377, 18.3509, 30.4724, 683.009, -65.2387
0.910814, 18.356, 30.4809, 683.198, -65.3161
0.915063, 18.3609, 30.4889, 683.379, -65.3902
0.91913, 18.3655, 30.4967, 683.553, -65.4611
0.923024, 18.37, 30.5041, 683.72, -65.5289
0.92675, 18.3743, 30.5112, 683.879, -65.5938
0.930314, 18.3784, 30.5181, 684.032, -65.6557
0.933725, 18.3824, 30.5246, 684.179, -65.715
0.936986, 18.3861, 30.5309, 684.319, -65.7717
0.940106, 18.3898, 30.5369, 684.454, -65.8259
0.943088, 18.3932, 30.5427, 684.584, -65.8777
0.94594, 18.3966, 30.5482, 684.708, -65.9273
0.948665, 18.3997, 30.5535, 684.826, -65.9746
0.95127, 18.4028, 30.5586, 684.94, -66.0199
0.953759, 18.4058, 30.5635, 685.05, -66.0632
0.956137, 18.4086, 30.5681, 685.154, -66.1046
0.95841, 18.4113, 30.5726, 685.254, -66.1442
0.960579, 18.4138, 30.5769, 685.35, -66.182
0.962652, 18.4163, 30.581, 685.443, -66.2182
0.964632, 18.4187, 30.5849, 685.531, -66.2527
0.966523, 18.421, 30.5887, 685.616, -66.2858
0.968328, 18.4231, 30.5923, 685.697, -66.3174
0.970052, 18.4252, 30.5958, 685.775, -66.3476
0.971698, 18.4272, 30.5991, 685.849, -66.3765
0.973268, 18.4291, 30.6023, 685.92, -66.4041
0.974768, 18.431, 30.6054, 685.989, -66.4304
0.976199, 18.4327, 30.6083, 686.054, -66.4557
0.977565, 18.4344, 30.6111, 686.117, -66.4798
0.978869, 18.436, 30.6138, 686.177, -66.5028
0.980113, 18.4376, 30.6164, 686.235, -66.5248
0.981301, 18.4391, 30.6188, 686.29, -66.5459
0.982433, 18.4405, 30.6212, 686.343, -66.566
0.983513, 18.4419, 30.6234, 686.394, -66.5852
0.984545, 18.4432, 30.6256, 686.443, -66.6036
0.985528, 18.4444, 30.6277, 686.489, -66.6211
0.986467, 18.4456, 30.6297, 686.534, -66.6379
0.987362, 18.4468, 30.6316, 686.576, -66.654
0.988217, 18.4479, 30.6334, 686.617, -66.6693
0.98903, 18.4489, 30.6352, 686.656, -66.684
0.989807, 18.4499, 30.6368, 686.694, -66.6979
0.990548, 18.4509, 30.6384, 686.73, -66.7113
0.991255, 18.4518, 30.64, 686.765, -66.7241
0.99193, 18.4527, 30.6414, 686.797, -66.7363
0.992572, 18.4536, 30.6429, 686.829, -66.748
0.993185, 18.4544, 30.6442, 686.859, -66.7591
0.993769, 18.4551, 30.6455, 686.888, -66.7698
0.994327, 18.4559, 30.6467, 686.916, -66.7799
0.994859, 18.4566, 30.6479, 686.942, -66.7897
0.995366, 18.4573, 30.649, 686.968, -66.799
